"short.ref"	"key.or.doi"	"long.ref"
"Hedges et al. 1990"	"10.1111/j.1475-4754.1990.tb00468.x"	"HEDGES, R. E. M., HOUSLEY, R. A., BRONK, C. R., & KLINKEN, G. J. (1990). RADIOCARBON DATES FROM THE OXFORD AMS SYSTEM: ARCHAEOMETRY DATELIST 11. Archaeometry, 32(2), 211–237. doi:10.1111/j.1475-4754.1990.tb00468.x"
"Hedges et al. 1990"	"10.1111/j.1475-4754.1990.tb01086.x"	"HEDGES, R. E. M., HOUSLEY, R. A., LAW, I. A., & BRONK, C. R. (1990). RADIOCARBON DATES FROM THE OXFORD AMS SYSTEM: ARCHAEOMETRY DATELIST 10. Archaeometry, 32(1), 101–108. doi:10.1111/j.1475-4754.1990.tb01086.x"
"Hedges et al. 1997"	"10.1111/j.1475-4754.1997.tb00820.x"	"HEDGES, R. E. M., PETTITT, P. B., RAMSEY, C. B., & KLINKEN, G. J. V. (1997). RADIOCARBON DATES FROM THE OXFORD AMS SYSTEM: ARCHAEOMETRY DATELIST 24. Archaeometry, 39(2), 445–471. doi:10.1111/j.1475-4754.1997.tb00820.x"
"Manino et al. 2012"	"10.1111/j.1475-4754.2007.00291.x"	"MANNINO, M. A., THOMAS, K. D., LENG, M. J., PIPERNO, M., TUSA, S., & TAGLIACOZZO, A. (2007). MARINE RESOURCES IN THE MESOLITHIC AND NEOLITHIC AT THE GROTTA DELL’UZZO (SICILY): EVIDENCE FROM ISOTOPE ANALYSES OF MARINE SHELLS*. Archaeometry, 49(1), 117–133. doi:10.1111/j.1475-4754.2007.00291.x"
"Bonizzoni et al. 2009"	"10.1111/j.1475-4754.2008.00412.x"	"BONIZZONI, L., BRUNI, S., GIROD, A., & GUGLIELMI, V. (2009). ARCHAEOMETRIC STUDY OF SHELLS OF HELICIDAE FROM THE EDERA CAVE (NORTHEASTERN ITALY). Archaeometry, 51(1), 151–173. doi:10.1111/j.1475-4754.2008.00412.x"
"Rivollat et al."	"10.1126/sciadv.aaz5344"	"Rivollat, M., Jeong, C., Schiffels, S., Küçükkalipçi, I., Pemonge, M.-H., Rohrlach, A. B., … Haak, W. (2020). Ancient genome-wide DNA from France highlights the complexity of interactions between Mesolithic hunter-gatherers and Neolithic farmers. Science Advances, 6(22), eaaz5344. doi:10.1126/sciadv.aaz5344"
"Fiorentino et al. 2013"	"10.1177/0959683613486942"	"Fiorentino, G., Caldara, M., De Santis, V., D’Oronzo, C., Muntoni, I. M., Simone, O., … Radina, F. (2013). Climate changes and human–environment interactions in the Apulia region of southeastern Italy during the Neolithic period. The Holocene, 23(9), 1297–1316. doi:10.1177/0959683613486942"
"Forenbaher et al. 2010"	"10.1179/009346910X12707321358955"	"Forenbaher, S., Kaiser, T., & Frame, S. (2010). Adriatic Neolithic Mortuary Ritual at Grapceva Cave, Croatia. Journal of Field Archaeology, 35(4), 337–354. doi:10.1179/009346910x12707321358955"
"Ammerman et al. 1988"	"10.1179/009346988791974510"	"Ammerman, A. J., Shaffer, G. D., & Hartmann, N. (1988). A Neolithic Household at Piana di Curinga, Italy. Journal of Field Archaeology, 15(2), 121–140. doi:10.1179/009346988791974510"
"Forenbaher et al. 2013"	"10.1179/1461957113Y.0000000038"	"Forenbaher, S., Kaiser, T., & Miracle, P. T. (2013). Dating the East Adriatic Neolithic. European Journal of Archaeology, 16(4), 589–609. doi:10.1179/1461957113y.0000000038"
"Pinhasi et Ammerman 2005"	"10.1371/journal.pbio.0030410"	"Pinhasi, R., Fort, J., & Ammerman, A. J. (2005). Tracing the Origin and Spread of Agriculture in Europe. PLoS Biology, 3(12), e410. doi:10.1371/journal.pbio.0030410"
"Gibaja et al. 2015"	"10.1371/journal.pone.0115505"	"Gibaja, J. F., Subirà, M. E., Terradas, X., Santos, F. J., Agulló, L., Gómez-Martínez, I., … Fernández-López de Pablo, J. (2015). The Emergence of Mesolithic Cemeteries in SW Europe: Insights from the El Collado (Oliva, Valencia, Spain) Radiocarbon Record. PLOS ONE, 10(1), e0115505. doi:10.1371/journal.pone.0115505"
"Mazzucco et al. 2020"	"10.1371/journal.pone.0232455.s002"	" (n.d.). doi:10.1371/journal.pone.0232455.s002"
"Fontana et al. 2020"	"10.1371/journal.pone.0237573"	"Fontana, F., Cristiani, E., Bertola, S., Briois, F., Guerreschi, A., & Ziggiotti, S. (2020). A snapshot of Late Mesolithic life through death: An appraisal of the lithic and osseous grave goods from the Castelnovian burial of Mondeval de Sora (Dolomites, Italy). PLOS ONE, 15(8), e0237573. doi:10.1371/journal.pone.0237573"
"Perrin & Manen 2021"	"10.1371/journal.pone.0246964"	"Perrin, T., & Manen, C. (2021). Potential interactions between Mesolithic hunter-gatherers and Neolithic farmers in the Western Mediterranean: The geochronological data revisited. PLOS ONE, 16(3), e0246964. doi:10.1371/journal.pone.0246964"
"Juan Cabanilles & Martí Oliver 2011"	"10.1387/veleia.2033"	"10.1387/veleia.2033"
"Rojo et al. 2015"	"10.14201/zephyrus2015754171"	"ROJO GUERRA, M. A., TEJEDOR RODRÍGUEZ, C., JIMÉNEZ JIMÉNEZ, I., PEÑA CHOCARRO, L., ROYO GUILLÉN, J. I., GARCÍA MARTÍNEZ DE LAGRÁN, Í., … GÓMEZ LECUMBERRI, F. (2015). Releyendo el fenómeno de la neolitización en el Bajo Aragón a la luz de la excavación del Cingle de Valmayor XI (Mequinenza, Zaragoza). Zephyrvs, 75(0), 41. doi:10.14201/zephyrus2015754171"
"Gironès Rofes et al. 2020"	"10.14201/zephyrus2020861542"	"Gironès Rofes, I., Molist Montaña, M., & Pardo Gordó, S. (2020). Análisis tecnotipológico y cronológico de la indústria lítica superficial recuperada en las terrazas del cauce del bajo Ebro. Zephyrvs, 86, 15–42. doi:10.14201/zephyrus2020861542"
"Borrell et al. 2015"	"10.15184/aqy.2014.30"	"Borrell, F., Bosch, J., & Majó, T. (2015). Life and death in the Neolithic variscite mines at Gavà (Barcelona, Spain). Antiquity, 89(343), 72–90. doi:10.15184/aqy.2014.30"
"Binder et al. 2017"	"10.15184/aqy.2017.65"	"Binder, D., Battentier, J., Delhon, C., & Sénépart, I. (2017). In pursuit of a missing transition: the Mesolithic and Neolithic radiocarbon chronology at La Font-aux-Pigeons rockshelter. Antiquity, 91(357), 605–620. doi:10.15184/aqy.2017.65"
"Bass 1998"	"10.1558/jmea.v11i2.165"	"Bass, B. (1999). Early Neolithic Offshore Accounts: Remote Islands, Maritime Exploitations, and the Trans-Adriatic Cultural Network. Journal of Mediterranean Archaeology, 11(2). doi:10.1558/jmea.v11i2.165"
"Martins et al. 2015"	"10.1558/jmea.v28i1.27503"	"Martins, H., Oms, F. X., Pereira, L., Pike, A. W. G., Rowsell, K., & Zilhão, J. (2015). Radiocarbon Dating the Beginning of the Neolithic in Iberia: New Results, New Problems. Journal of Mediterranean Archaeology, 28(1), 105–131. doi:10.1558/jmea.v28i1.27503"
"Montes et al. 2015"	"10.21630/maa.2015.66.06"	"Montes, L. (2015). Completando el mapa de la Cuenca del Ebro: el Mesolítico del IX milenio cap BP de Espantalobos (Huesca, España). Munibe Antropologia-Arkeologia, 66, 119–133. doi:10.21630/maa.2015.66.06"
"Oms et al. 2017"	"10.21630/maa.2017.68.01"	"Oms Arias, F. X. (2017). Fases y territorios de la neolitización del NE de la Península Ibérica ca. 5600-4900 cal BC. Munibe Antropologia-Arkeologia, 68. doi:10.21630/maa.2017.68.01"
"Gibaja et al. 2018"	"10.21630/maa.2018.69.01"	"Gibaja, F., Morell, B., López-Onaindia, D., Zemour, A., Bosch, À., Tarrús, J., & Subirà, M. E. (2018). Nuevos datos cronológicos sobre la cueva sepulcral neolítica de l’Avellaner (Les Planes d’Hostoles, Girona). Munibe Antropologia-Arkeologia. doi:10.21630/maa.2018.69.01"
"Gibaja et al. 2017"	"10.21630/maa.2018.69.01"	"Gibaja, F., Morell, B., López-Onaindia, D., Zemour, A., Bosch, À., Tarrús, J., & Subirà, M. E. (2018). Nuevos datos cronológicos sobre la cueva sepulcral neolítica de l’Avellaner (Les Planes d’Hostoles, Girona). Munibe Antropologia-Arkeologia. doi:10.21630/maa.2018.69.01"
"Oms et al. 2019"	"10.21630/maa.2019.70.05 "	"10.21630/maa.2019.70.05 "
"Marcos 2019"	"10.21630/maa.2019.70.06"	"Marcos Saiz, F. J. (2019). SIG y análisis espacial de la distribución territorial y funcional del Neolítico en la sierra de Atapuerca y la cuenca del Arlanzón (VI-IV milenio cal BC). Munibe Antropologia-Arkeologia. doi:10.21630/maa.2019.70.06"
"Marcos 2019"	"10.21630/maa.2019.70.06 "	"10.21630/maa.2019.70.06 "
"McClure et al. 2016 "	"10.2458/56.17918"	"McClure, S. B., Podrug, E., Moore, A. M. T., Culleton, B. J., & Kennett, D. J. (2014). AMS 14C Chronology and Ceramic Sequences of Early Farmers in the Eastern Adriatic. Radiocarbon, 56(3), 1019–1038. doi:10.2458/56.17918"
"Carrasco & Martínez 2010"	"10.30827/cpag.v20i0.134"	"10.30827/cpag.v20i0.134"
"Delibrias & Evin 1980"	"10.3406/bspf.1980.5271"	"Delibrias, G., & Évin, J. (1980). Sommaire des datations ¹4C concernant la préhistoire en France [II - Dates parues de 1974 à 1978 ]. Bulletin de La Société Préhistorique Française, 77(7), 215–224. doi:10.3406/bspf.1980.5271"
"Guilaine et al. 1981"	"10.3406/bspf.1981.5315"	"Guilaine, J., Simone, L., Thommeret, J., & Thommeret, Y. (1981). Datations ¹4C pour le Néolithique du Tavoliere (Italie). Bulletin de La Société Préhistorique Française, 78(5), 154–160. doi:10.3406/bspf.1981.5315"
"Delibrias et al. 1982"	"10.3406/bspf.1982.5381"	"Delibrias, G., Évin, J., & Thommeret, Y. (1982). Sommaire des datations ¹4C concernant la préhistoire en France [II -Dates parues de 1974 à 1982 Chapitre VI<U+202F>: NÉOLITHIQUE<U+202F>: de environ 7000 BP à environ 4000]. Bulletin de La Société Préhistorique Française, 79(6), 175–192. doi:10.3406/bspf.1982.5381"
"Delibrias et al. 1987"	"10.3406/bspf.1987.9833"	"Delibrias, G., Guillier, M.-T., Évin, J., & Chevallier, J. (1987). Sommaire des datations ¹4C concernant la préhistoire en France [III. Dates effectuées de 1979 à fin 1984]. Bulletin de La Société Préhistorique Française, 84(7), 207–224. doi:10.3406/bspf.1987.9833"
"Pahin-Pétavy & Mahieu 1991"	"10.3406/bspf.1991.9461"	"Pahin-Peytavy, A.-C., & Mahieu, E. (1991). La sépulture épicardiale de Barret-de-Lioure (Drôme). Bulletin de La Société Préhistorique Française, 88(3), 91–96. doi:10.3406/bspf.1991.9461"
"Magdelaine 1995"	"10.3406/bspf.1995.10037"	"Magdeleine, J. (1995). Préhistoire du Cap Corse<U+202F>: les abris de Torre d’Aquila, Pietracorbara (Haute-Corse). Bulletin de La Société Préhistorique Française, 92(3), 363–377. doi:10.3406/bspf.1995.10037"
"Vital 1999"	"10.3406/bspf.1999.10945"	"Vital, J., Brochier, J.-L., Durand, J., Prost, D., Reynier, P., & Rimbault, S. (1999). Roynac le Serre 1 (Drôme)<U+202F>: une nouvelle séquence holocène en Valdaine et ses occupations des Ages des métaux. Bulletin de La Société Préhistorique Française, 96(2), 225–240. doi:10.3406/bspf.1999.10945"
"Manen & Sabatier 2003"	"10.3406/bspf.2003.12868"	"Manen, C., & Sabatier, P. (2003). Chronique radiocarbone de la néolithisation en Méditerranée nord-occidentale. Bulletin de La Société Préhistorique Française, 100(3), 479–504. doi:10.3406/bspf.2003.12868"
"Willigen 2004"	"10.3406/bspf.2004.13028"	"Van Willigen, S. (2004). Aspects culturels de la néolithisation en Méditerranée occidentale<U+202F>: le Cardial et l’Épicardial. Bulletin de La Société Préhistorique Française, 101(3), 463–495. doi:10.3406/bspf.2004.13028"
"Pion et al. 1990"	"10.3406/galip.1990.2277"	"Pion, G., Billard, M., Bintz, P., Caillat, B., Cataliotti-Valdina, J., Durand, J.-M., … Monjuvent, G. (1990). L’abri de La Fru à Saint-Christophe (Savoie). Gallia Préhistoire, 32(1), 65–123. doi:10.3406/galip.1990.2277"
"Costa 2004"	"10.3406/galip.2004.2043"	"Costa, L. J. (2004). Nouvelles données sur le Mésolithique des îles Tyrrhéniennes (Corse et Sardaigne) [Peut-on parler d’un «<U+202F>Mésolithique insulaire<U+202F>»<U+202F>?]. Gallia Préhistoire, 46(1), 211–230. doi:10.3406/galip.2004.2043"
"Salotti 2008"	"10.3409/azc.51a_1-2.15-34"	"Salotti, M., Louchart, A., Bailon, S., Lorenzo, S., Oberlin, C., Ottaviani-Spella, M.-M., … Tramoni, P. (2008). A Teppa di U Lupinu Cave (Corsica, France) – human presence since 8500 years BC, and the enigmatic origin of the earlier, late Pleistocene accumulation. Acta Zoologica Cracoviensia - Series A: Vertebrata, 51(1), 15–34. doi:10.3409/azc.51a_1-2.15-34"
"Schuhmacher & Weniger 1995"	"10.3989/tp.1995.v52.i2.419"	"Schuhmacher, T. X., & Weniger, G.-C. (1995). Continuidad y cambio. Problemas de la neolitización en el este de la Península Ibérica. Trabajos de Prehistoria, 52(2), 83–97. doi:10.3989/tp.1995.v52.i2.419"
"Pallares et al. 1997"	"10.3989/tp.1997.v54.i1.382"	"Pallarés, M., Bordas, A., & Mora, R. (1997). El proceso de neolitización en los Pirineos Orientales. Un modelo de continuidad entre los cazadores-recolectores neolíticos y los primeros grupos agropastoriles. Trabajos de Prehistoria, 54(1), 121–141. doi:10.3989/tp.1997.v54.i1.382"
"Pallarès et al. 1997"	"10.3989/tp.1997.v54.i1.382"	"Pallarés, M., Bordas, A., & Mora, R. (1997). El proceso de neolitización en los Pirineos Orientales. Un modelo de continuidad entre los cazadores-recolectores neolíticos y los primeros grupos agropastoriles. Trabajos de Prehistoria, 54(1), 121–141. doi:10.3989/tp.1997.v54.i1.382"
"Gilman 2003"	"10.3989/tp.2003.v60.i2.78"	"Gilman, A. (2003). The impact of radiocarbon on Later prehistoric studies in the Iberian Peninsula: some brief comments. Trabajos de Prehistoria, 60(2). doi:10.3989/tp.2003.v60.i2.78"
"Oms et al. 2014"	"10.3989/tp.2014.12123"	"Oms, F. X., Esteve, X., Mestres, J., Martín, P., & Martins, H. (2014). La neolitización del nordeste de la Península Ibérica: datos radiocarbónicos y culturales de los asentamientos al aire libre del Penedès. Trabajos de Prehistoria, 71(1), 42–55. doi:10.3989/tp.2014.12123"
"Morales et al. 2010"	"10.3989/tp.2014.12128"	"Cebrià, A., Fontanals, M., Martín, P., Morales, J. I., Oms, F. X., Rodríguez-Hidalgo, A., … Vergès, J. M. . (2014). Nuevos datos para el Neolítico antiguo en el nordeste de la Península Ibérica procedentes de la Cova del Toll (Moià, Barcelona) y de la Cova de la Font Major (L’Espluga de Francolí, Tarragona). Trabajos de Prehistoria, 71(1), 134–145. doi:10.3989/tp.2014.12128"
"Cebrià et al. 2014"	"10.3989/tp.2014.12128"	"Cebrià, A., Fontanals, M., Martín, P., Morales, J. I., Oms, F. X., Rodríguez-Hidalgo, A., … Vergès, J. M. . (2014). Nuevos datos para el Neolítico antiguo en el nordeste de la Península Ibérica procedentes de la Cova del Toll (Moià, Barcelona) y de la Cova de la Font Major (L’Espluga de Francolí, Tarragona). Trabajos de Prehistoria, 71(1), 134–145. doi:10.3989/tp.2014.12128"
"Gassiot et al. 2014"	"10.3989/tp.2014.12134"	"Gassiot Ballbè, E., Rodríguez Antón, D., Pèlachs Mañosa, A., Pérez Obiol, R., Julià Brugués, R., Bal-Serin, M.-C., & Mazzucco, N. (2014). La alta montaña durante la Prehistoria: 10 años de investigación en el Pirineo catalán occidental. Trabajos de Prehistoria, 71(2), 261–281. doi:10.3989/tp.2014.12134"
"Utrilla et al. 2018"	"10.3989/tp.2018.12214"	"Utrilla Miranda, P., & Laborda Lorente, R. (2018). La cueva de Chaves (Bastarás, Huesca): 15 000 años de ocupación prehistórica. Trabajos de Prehistoria, 75(2), 248. doi:10.3989/tp.2018.12214"
"Oms et al. 2019"	"10.3989/tp.2019.12241"	"Oms, F. X., Morales, J. I., Cebrià, A., Mestres, J., & Fullola, J. M. (2019). Nuevas intervenciones en la Cova Gran y la Cova Freda de Montserrat (Collbató, Barcelona) casi 100 años después. Trabajos de Prehistoria, 76(2), 335. doi:10.3989/tp.2019.12241"
"Garcia Puchol et al. 2009"	"10.3998/jar.0521004.0065.205"	"Puchol, O. G., Balaguer, L. M., Tortosa, J. E. A., & Aubán, J. B. (2009). From the Mesolithic to the Neolithic on the Mediterranean Coast of the Iberian Peninsula. Journal of Anthropological Research, 65(2), 237–251. doi:10.3998/jar.0521004.0065.205"
"Gazzoni et al. 2021"	"10.4000/bmsap.7518"	"Gazzoni, V., Goude, G., Dalmeri, G., Guerreschi, A., Mottes, E., Nicolis, F., … Fontana, F. (2021). Investigating the diet of Mesolithic groups in the Southern Alps: An attempt using stable carbon and nitrogen isotope analyses. Bulletins et Mémoires de La Société D’anthropologie de Paris, 33(1). doi:10.4000/bmsap.7518"
"Zúñiga et al. 2019"	"10.4000/books.cths.6552"	"Zúñiga, A. O., Arcéiz, A. B., Martínez, R. L., Sainz-Aja, A. S., Gracia, M. A., Bea, M., … Miranda, P. U. (2019). L’abri de L’Esplugón (Villobas-Sabiñánigo, Huesca, Espagne) : apports des données à la question de la transition Mésolithique-Néolithique dans les Pré-Pyrénées méridionales. La Conquête de La Montagne : Des Premières Occupations Humaines à L’anthropisation Du Milieu. doi:10.4000/books.cths.6552"
"Gallay et al. 1987"	"10.4000/books.editionscnrs.1114."	"10.4000/books.editionscnrs.1114."
"Guilaine 1987"	"10.4000/books.editionscnrs.945"	"Guilaine, J., Courtin, J., Roudil, J.-L., & Vernet, J.-L. (Eds.). (1987). Premières communautés paysannes en Méditerranée occidentale. doi:10.4000/books.editionscnrs.945"
"Provost et al. 2017"	"10.4000/galliap.620"	"Provost, S., Binder, D., Duday, H., Durrenmath, G., Goude, G., Gourichon, L., … Zemour, A. (2017). Une sépulture collective à la transition des VIe et Ve millénaires BCE : Mougins – Les Bréguières (Alpes-Maritimes, France). Gallia Préhistoire, (57), 289–336. doi:10.4000/galliap.620"
"MlekužD 2005"	"10.4312/dp.32.2"	"Mlekuž, D. (2005). The ethnography of the Cyclops: Neolithic pastoralists in the eastern Adriatic. Documenta Praehistorica, 32, 15–51. doi:10.4312/dp.32.2"
"Forenbaher & Miracle 2006"	"10.4312/dp.33.10"	"Forenbaher, S., & Miracle, P. T. (2006). The spread of farming in the Eastern Adriatic. Documenta Praehistorica, 33, 89–100. doi:10.4312/dp.33.10"
"Mlekuž et al. 2008"	"10.4312/dp.35.18"	"Mlekuž, D., Budja, M., Payton, R., Bonsall, C., & Žibrat Gašparic, A. (2008). Reassessing the Mesolithic\Neolithic “gap” in Southeast European cave sequences. Documenta Praehistorica, 35, 237–251. doi:10.4312/dp.35.18"
"Cristiani et al. 2009"	"10.4312/dp.36.12"	"Cristiani, E., Pedrotti, A., & Gialanella, S. (2009). Tradition and innovation between the Mesolithic and early Neolithic in the Adige Valley (northeast Italy). New data from a functional analysis of trapezes from the Gaban rock-shelter. Documenta Praehistorica, 36, 191–205. doi:10.4312/dp.36.12"
"Binder et al. 2018"	"10.4312/dp.44.4"	"Binder, D., Lanos, P., Angeli, L., Gomart, L., Guilaine, J., Manen, C., … Thiébault, S. (2017). Modelling the earliest north-western dispersal of Mediterranean Impressed Wares: new dates and Bayesian chronological model. Documenta Praehistorica, 44, 54–77. doi:10.4312/dp.44.4"
"Binder et al. 2017"	"10.4312/dp.44.4"	"Binder, D., Lanos, P., Angeli, L., Gomart, L., Guilaine, J., Manen, C., … Thiébault, S. (2017). Modelling the earliest north-western dispersal of Mediterranean Impressed Wares: new dates and Bayesian chronological model. Documenta Praehistorica, 44, 54–77. doi:10.4312/dp.44.4"
"Kacar 2019"	"10.4312/dp.46.22"	"Kacar, S. (2019). Impressed Ware blade production of Northern Dalmatia (Eastern Adriatic, Croatia) in the context of Neolithisation. Documenta Praehistorica, 46, 352–374. doi:10.4312/dp.46.22"
"Crotti & Pignat 1986"	"10.5169/seals-8237PDF"	"10.5169/seals-8237PDF"
"García Moreno et al. 2015"	"10.5209/rev_CMPL.2015.v26.n1.49342"	"García Moreno, A., Cubas, M., Marín-Arroyo, A. B., Ríos Garaizar, J., Ortiz, J. E., De Torres, T., … Garate Maidagan, D. (1970). El Neolítico de la cueva del Niño (Aýna, Albacete) en el contexto de la Sierra del Segura. Complutum, 26(1), 91–111. doi:10.5209/rev_cmpl.2015.v26.n1.49342"
"Manning et al. 2016"	"10.5334/joad.40"	"The Cultural Evolution of Neolithic Europe. EUROEVOL Dataset 1: Sites, Phases and Radiocarbon Data. (2016). Journal of Open Archaeology Data, 5. doi:10.5334/joad.40"
